Route,Stop,UTMXN,UTMYE
723,2,4537964.037,322582.778
723,3,4538000.739,324214.1651
723,4,4536945.734,323661.2602
723,5,4536187.046,322031.7987
723,6,4536504.813,320233.1796
723,7,4537216.991,319352.4249
723,8,4538112.807,318612.4878
723,9,4539601.144,319223.0374
723,10,4541191.687,319443.1312
723,11,4542840.275,319486.4892
723,12,4542746.731,321113.6935
723,13,4540269.229,321049.0978
723,14,4541155.419,322678.0835
723,15,4541129.778,324283.427
723,16,4540299.58,325246.8684
723,17,4539241.043,325851.5889
723,18,4537841.599,325453.5879
723,19,4536245.54,325773.5733
723,20,4534617.263,325734.9951
728,1,4473300.833,270282.2233
728,2,4468829.573,390117.0689
728,3,4468919.015,391730.5654
728,4,4468908.841,393346.8381
728,5,4468845.306,395763.4771
728,6,4468850.687,396578.8261
728,7,4468828.645,398192.079
728,8,4468804.93,399818.0415
728,9,4468789.666,401531.8624
728,10,4468758.958,403038.8307
728,11,4485639.802,403457.6325
728,12,4465476.301,403197.5339
728,13,4465411.24,404815.1703
728,14,4465365.363,406406.1549
728,15,4465357.788,408221.3359
728,16,4465276.298,409602.332
728,17,4465327.584,411198.7278
728,18,4465301.18,412822.506
728,19,4465262.307,414760.4772
728,20,4469111.328,246064.0352
731,1,4502503.818,744731.5371
731,2,4504316.361,256707.9071
731,3,4504247.773,258298.4312
731,4,4504189.992,259909.047
731,5,4504231.091,263129.5923
731,6,4504017.164,264732.3704
731,7,4503947.518,266352.4377
731,8,4503896.993,267964.6313
731,9,4503846.338,269592.3228
731,10,4503796.388,271208.7363
731,11,4503757.076,272791.6068
731,12,4505361.979,272940.8201
731,13,4505312.327,274387.632
731,14,4505269.383,275989.761
731,15,4505225.146,277584.7837
731,16,4505197.117,279269.1135
731,17,4505141.069,280786.1939
731,18,4503527.158,280752.6666
731,19,4503479.598,282370.4589
731,20,4503425.563,283968.3032
732,1,4491404,256208
732,2,4491490,254647
732,3,4493044,454711
732,4,4494669,254779
732,5,4496254,254830
732,6,4496327,253221
732,7,4496403,251243
732,8,4496456,250000
732,9,4496524,248030
732,10,4496573,246713
732,11,4496557,753049
732,12,4496503,751442
732,13,,
732,14,4496403,748207
732,15,4496353,746611
732,16,4494801,746648
732,17,4493136,746716
732,18,4491532,746780
732,19,4491479,745451
732,20,4491427,743693
733,1,4449564.81,748202.6389
733,2,4447938.17,251751.0707
733,3,4446367.227,251700.9398
733,4,4445519.608,252413.9586
733,5,4445481.901,254082.0555
733,6,4446276.935,254925.3878
733,7,4446238.085,256415.5192
733,8,4446191.128,258168.386
733,9,4446158.471,259308.949
733,10,4445318.354,260277.5002
733,11,4445761.746,261367.7757
733,12,4446058.327,262832.8733
733,13,4446006.487,264433.3991
733,14,4445973.115,265807.0311
733,15,4444873.58,266148.3571
733,16,4443525.556,266681.2171
733,17,4442952.671,267725.8837
733,18,4441241.123,267676.2569
733,19,4440276.236,267254.0455
733,20,4438500.638,267602.2371
736,1,4593069.188,295579.1607
736,2,4443274.356,367749.4981
736,3,4443222.556,367748.5934
736,4,4443170.757,367747.6887
736,5,4442913.607,367743.1978
736,6,4442863.658,367742.3254
736,7,4442811.858,367741.4208
736,8,4442760.058,367740.5162
736,9,4442606.509,367737.8347
736,10,4442554.709,367736.9301
736,11,4442401.159,367734.2487
736,12,4442245.76,367731.5351
736,13,4442092.211,367728.8539
736,14,4442637.958,367738.3839
736,15,4441785.112,367723.4917
736,16,4441629.713,367720.7784
736,17,4441476.164,367718.0975
736,18,4441322.615,367715.4166
736,19,4441169.065,367712.7359
736,20,4441013.666,367710.0229
737,1,4491158.72,675146.4092
737,2,4491133.716,326557.336
737,3,4491089.34,328074.2305
737,4,4491044.964,329685.723
737,5,4491040.938,669975.4898
737,6,4491109.854,673292.1316
737,7,4491162.308,674904.8652
737,8,4491208.446,676548.8184
737,9,4491260.965,678134.7328
737,10,4492417.468,679732.1674
737,11,4491357.388,681291.2524
737,12,4491406.128,682908.3429
737,13,4491451.449,684522.7016
737,14,4491487.199,686110.4777
737,15,4491527.734,687727.8023
737,16,4491566.019,689096.6507
737,17,4489873.028,396987.4354
737,18,4491604.929,690914.5723
737,19,4491659.094,692517.4602
737,20,4491699.133,694133.4328
738,1,4569654.295,720512.0161
738,2,4571217.923,279536.7754
738,3,4571989.133,280370.6721
738,4,4572858.339,281151.4509
738,5,4572797.812,282736.9041
738,6,4574238.614,282866.5859
738,7,4575791.082,283164.3862
738,8,4577311.111,283991.7369
738,9,4579176.751,284971.4046
738,10,4579610.333,285403.0221
738,11,4578800.57,367543.5871
738,12,4580656.907,288868.6733
738,13,4580669.115,290811.6948
738,14,4580644.767,292302.8531
738,15,4580588.263,293893.5566
738,16,4580571.404,295535.6087
738,17,4581961.97,295938.9837
738,18,4583033.484,295966.3661
738,19,4584190.357,295987.7907
738,20,4585288.29,295997.8027
739,1,4534636.772,674275.773
739,2,4532974.624,674306.72
739,3,4531414.616,674335.2332
739,4,4529734,674383.4434
739,5,4526562.421,674466.9204
739,6,4524987.397,674470.4388
739,7,4524970.204,672843.1376
739,8,4524946.577,671258.1738
739,9,4524911.414,669639.7578
739,10,4524883.075,668012.7649
739,11,4524844.184,666394.458
739,12,4524817.126,664792.7628
739,13,4524801.517,663190.8286
739,14,4526420.505,663171.881
